Source,Target,Weight
1,80,5
1,65,4
1,67,3
1,74,2
1,58,1
2,69,5
2,77,4
2,65,3
2,80,2
2,78,1
3,77,5
3,69,4
3,53,3
3,76,2
3,59,1
4,80,5
4,58,4
4,74,3
4,77,2
4,65,1
5,77,5
5,64,4
5,59,3
5,57,2
5,75,1
6,69,5
6,80,4
6,63,3
6,53,2
6,78,1
7,77,5
7,74,4
7,53,3
7,69,2
7,55,1
8,74,5
8,77,4
8,69,3
8,63,2
8,76,1
9,80,5
9,61,4
9,65,3
9,53,2
9,64,1
10,69,5
10,77,4
10,64,3
10,74,2
10,59,1
11,80,5
11,77,4
11,74,3
11,58,2
11,65,1
12,77,5
12,69,4
12,74,3
12,60,2
12,52,1
13,69,5
13,80,4
13,78,3
13,65,2
13,81,1
14,77,5
14,69,4
14,53,3
14,64,2
14,80,1
15,69,5
15,77,4
15,78,3
15,58,2
15,74,1
16,69,5
16,80,4
16,78,3
16,61,2
16,79,1
17,69,5
17,80,4
17,74,3
17,78,2
17,81,1
18,80,5
18,74,4
18,58,3
18,65,2
18,77,1
19,77,5
19,74,4
19,69,3
19,58,2
19,80,1
20,69,5
20,74,4
20,78,3
20,81,2
20,63,1
21,77,5
21,71,4
21,65,3
21,74,2
21,64,1
22,55,5
22,80,4
22,77,3
22,74,2
22,65,1
23,77,5
23,69,4
23,56,3
23,74,2
23,72,1
24,61,5
24,78,4
24,80,3
24,69,2
24,74,1
25,80,5
25,67,4
25,65,3
25,74,2
25,58,1
26,69,5
26,80,4
26,74,3
26,61,2
26,63,1
27,80,5
27,69,4
27,78,3
27,65,2
27,56,1
28,61,5
28,80,4
28,69,3
28,77,2
28,78,1
29,77,5
29,69,4
29,53,3
29,64,2
29,54,1
30,63,5
30,55,4
30,79,3
30,74,2
30,71,1
31,69,5
31,76,4
31,64,3
31,77,2
31,74,1
32,77,5
32,58,4
32,69,3
32,76,2
32,52,1
33,69,5
33,64,4
33,59,3
33,77,2
33,74,1
34,80,5
34,77,4
34,74,3
34,69,2
34,65,1
35,69,5
35,78,4
35,56,3
35,61,2
35,80,1
36,69,5
36,74,4
36,77,3
36,56,2
36,80,1
37,58,5
37,66,4
37,69,3
37,77,2
37,81,1
38,69,5
38,61,4
38,78,3
38,65,2
38,74,1
39,74,5
39,69,4
39,77,3
39,76,2
39,64,1
40,77,5
40,69,4
40,71,3
40,53,2
40,76,1
41,80,5
41,65,4
41,74,3
41,77,2
41,58,1
42,78,5
42,79,4
42,69,3
42,63,2
42,68,1
43,80,5
43,65,4
43,58,3
43,77,2
43,63,1
44,77,5
44,69,4
44,64,3
44,59,2
44,57,1
45,80,5
45,78,4
45,65,3
45,69,2
45,70,1
46,69,5
46,78,4
46,63,3
46,74,2
46,79,1
47,80,5
47,77,4
47,69,3
47,65,2
47,74,1
48,78,5
48,77,4
48,69,3
48,55,2
48,61,1
49,77,5
49,69,4
49,74,3
49,62,2
49,68,1
50,78,5
50,79,4
50,69,3
50,77,2
50,74,1
51,69,5
51,74,4
51,55,3
51,73,2
51,77,1
