Id,Label
1,Alabama
2,Alaska 
3,Arizona 
4,Arkansas 
5,California 
6,Colorado 
7,Connecticut 
8,Delaware 
9,District of Columbia 
10,Florida 
11,Georgia 
12,Hawaii 
13,Idaho 
14,Illinois 
15,Indiana 
16,Iowa 
17,Kansas 
18,Kentucky 
19,Louisiana 
20,Maine 
21,Maryland 
22,Massachusetts 
23,Michigan 
24,Minnesota
25,Mississippi 
26,Missouri 
27,Montana 
28,Nebraska 
29,Nevada 
30,New Hampshire
31,New Jersey 
32,New Mexico 
33,New York 
34,North Carolina 
35,North Dakota 
36,Ohio 
37,Oklahoma 
38,Oregon 
39,Pennsylvania 
40,Rhode Island 
41,South Carolina 
42,South Dakota 
43,Tennessee 
44,Texas 
45,Utah 
46,Vermont 
47,Virginia 
48,Washington 
49,West Virginia 
50,Wisconsin
51,Wyoming
52,Aiden
53,Alexander
54,Anthony
55,Benjamin
56,Carter
57,Daniel
58,Elijah
59,Ethan
60,Ezekiel
61,Henry
62,Hunter
63,Jackson
64,Jacob
65,James
66,Jaxon
67,John
68,Levi
69,Liam
70,Lincoln
71,Logan
72,Lucas
73,Luke
74,Mason
75,Matthew
76,Michael
77,Noah
78,Oliver
79,Owen
80,William
81,Wyatt
