Source,Target,Weight
1,13,5
1,17,4
1,14,3
1,20,2
1,18,1
2,13,5
2,14,4
2,15,3
2,22,2
2,17,1
3,14,5
3,13,4
3,20,3
3,17,2
3,25,1
4,14,5
4,13,4
4,21,3
4,23,2
4,18,1
5,13,5
5,18,4
5,17,3
5,16,2
5,24,1
6,15,5
6,19,4
6,13,3
6,14,2
6,17,1
7,16,5
7,15,4
7,18,3
7,13,2
7,17,1
8,13,5
8,18,4
8,15,3
8,16,2
8,19,1
9,13,5
9,18,4
9,17,3
9,15,2
9,26,1
10,16,5
10,18,4
10,13,3
10,14,2
10,15,1
11,15,5
11,19,4
11,13,3
11,24,2
11,27,1
12,13,5
12,15,4
12,20,3
12,16,2
12,18,1
