Source,Target,Weight
1,13,5
1,17,4
1,19,3
1,28,2
1,16,1
2,14,5
2,18,4
2,15,3
2,17,2
2,27,1
3,15,5
3,13,4
3,22,3
3,24,2
3,21,1
4,15,5
4,17,4
4,24,3
4,13,2
4,14,1
5,16,5
5,14,4
5,25,3
5,17,2
5,22,1
6,13,5
6,19,4
6,16,3
6,17,2
6,25,1
7,13,5
7,20,4
7,26,3
7,15,2
7,21,1
8,17,5
8,13,4
8,15,3
8,21,2
8,20,1
9,13,5
9,21,4
9,20,3
9,15,2
9,17,1
10,17,5
10,15,4
10,13,3
10,16,2
10,21,1
11,15,5
11,22,4
11,27,3
11,17,2
11,20,1
12,18,5
12,23,4
12,27,3
12,24,2
12,20,1
