Source,Target,Weight
1,13,5
1,15,4
1,16,3
1,21,2
1,22,1
2,14,5
2,13,4
2,15,3
2,17,2
2,16,1
3,14,5
3,16,4
3,19,3
3,17,2
3,13,1
4,14,5
4,17,4
4,19,3
4,13,2
4,23,1
5,14,5
5,13,4
5,16,3
5,15,2
5,17,1
6,14,5
6,17,4
6,16,3
6,13,2
6,19,1
7,14,5
7,17,4
7,16,3
7,13,2
7,19,1
8,14,5
8,13,4
8,16,3
8,19,2
8,17,1
9,14,5
9,17,4
9,18,3
9,16,2
9,19,1
10,14,5
10,18,4
10,17,3
10,16,2
10,19,1
11,14,5
11,19,4
11,16,3
11,13,2
11,17,1
12,15,5
12,13,4
12,20,3
12,16,2
12,24,1
