Source,Target,Weight
1,52,5
1,53,4
1,54,3
1,55,2
1,56,1
2,57,5
2,58,4
2,55,3
2,59,2
2,52,1
3,58,5
3,56,4
3,60,3
3,57,2
3,61,1
4,58,5
4,52,4
4,55,3
4,56,2
4,57,1
5,56,5
5,58,4
5,60,3
5,62,2
5,63,1
6,58,5
6,57,4
6,56,3
6,64,2
6,52,1
7,56,5
7,58,4
7,61,3
7,65,2
7,53,1
8,58,5
8,56,4
8,55,3
8,66,2
8,67,1
9,52,5
9,56,4
9,53,3
9,64,2
9,59,1
10,58,5
10,56,4
10,71,3
10,55,2
10,57,1
11,58,5
11,56,4
11,52,3
11,55,2
11,53,1
12,58,5
12,56,4
12,57,3
12,55,2
12,68,1
13,57,5
13,58,4
13,52,3
13,64,2
13,53,1
14,56,5
14,58,4
14,57,3
14,61,2
14,64,1
15,57,5
15,58,4
15,55,3
15,56,2
15,64,1
16,57,5
16,58,4
16,64,3
16,52,2
16,56,1
17,58,5
17,64,4
17,56,3
17,55,2
17,69,1
18,58,5
18,52,4
18,57,3
18,55,2
18,53,1
19,58,5
19,55,4
19,56,3
19,54,2
19,52,1
20,57,5
20,64,4
20,58,3
20,59,2
20,70,1
21,58,5
21,56,4
21,53,3
21,71,2
21,61,1
22,56,5
22,58,4
22,61,3
22,53,2
22,52,1
23,57,5
23,56,4
23,58,3
23,64,2
23,55,1
24,64,5
24,57,4
24,59,3
24,58,2
24,70,1
25,53,5
25,52,4
25,55,3
25,54,2
25,56,1
26,57,5
26,58,4
26,52,3
26,64,2
26,56,1
27,57,5
27,64,4
27,52,3
27,53,2
27,70,1
28,57,5
28,64,4
28,58,3
28,59,2
28,52,1
29,58,5
29,56,4
29,55,3
29,62,2
29,60,1
30,71,5
30,57,4
30,61,3
30,58,2
30,70,1
31,58,5
31,56,4
31,71,3
31,73,2
31,74,1
32,58,5
32,56,4
32,75,3
32,55,2
32,60,1
33,58,5
33,56,4
33,71,3
33,74,2
33,82,1
34,58,5
34,56,4
34,52,3
34,53,2
34,55,1
35,57,5
35,58,4
35,76,3
35,77,2
35,59,1
36,58,5
36,57,4
36,56,3
36,55,2
36,52,1
37,58,5
37,57,4
37,56,3
37,78,2
37,55,1
38,57,5
38,58,4
38,64,3
38,56,2
38,52,1
39,56,5
39,58,4
39,61,3
39,79,2
39,65,1
40,58,5
40,56,4
40,74,3
40,63,2
40,61,1
41,52,5
41,56,4
41,53,3
41,58,2
41,55,1
42,57,5
42,58,4
42,64,3
42,80,2
42,77,1
43,58,5
43,52,4
43,55,3
43,53,2
43,56,1
44,58,5
44,56,4
44,60,3
44,55,2
44,62,1
45,57,5
45,52,4
45,58,3
45,70,2
45,64,1
46,57,5
46,59,4
46,72,3
46,61,2
46,69,1
47,58,5
47,56,4
47,52,3
47,53,2
47,57,1
48,57,5
48,58,4
48,56,3
48,61,2
48,64,1
49,58,5
49,55,4
49,79,3
49,77,2
49,52,1
50,57,5
50,58,4
50,64,3
50,52,2
50,59,1
51,57,5
51,58,4
51,69,3
51,68,2
51,81,1
